19,998
2,1
2,5
1,15
1,5
1,1
1,6
2,18
2,2
2,11
2,9
1,15
2,8
1,4
2,6
1,15
1,1
2,7
2,1
2,1
1,18
2,10
1,4
1,18
1,7
2,4
2,12
2,18
2,3
2,20
2,20
2,5
1,13
2,12
2,11
1,16
2,10
2,3
2,12
2,14
2,12
2,12
2,14
2,14
1,18
2,17
2,5
1,20
2,19
2,11
1,12
2,6
1,14
1,7
2,19
2,8
1,7
2,14
1,13
2,2
2,10
2,1
1,19
2,8
1,19
2,10
2,12
1,16
2,6
1,14
1,19
2,9
2,3
2,1
2,17
1,17
2,18
2,11
2,3
1,9
2,17
2,5
2,19
2,10
2,3
2,15
1,18
1,1
2,14
2,11
1,2
1,12
2,11
1,12
1,3
1,7
2,5
2,2
2,18
1,9
2,12
1,7
1,15
1,17
2,13
2,2
2,18
1,2
2,12
2,6
2,1
1,3
1,19
2,3
1,9
2,6
1,20
1,5
1,4
1,19
1,19
1,15
1,15
