20,1012
1,16
2,12
2,11
1,1
1,10
2,16
2,4
1,6
2,19
1,6
1,17
1,6
2,18
1,6
2,12
2,6
1,16
1,19
2,7
2,19
1,9
2,9
2,18
1,16
2,15
2,18
2,4
1,6
1,9
1,6
1,18
1,4
2,18
2,11
1,6
2,16
1,12
2,9
1,5
1,1
2,1
1,3
2,7
1,18
2,3
1,19
2,6
2,3
2,13
2,14
2,1
2,12
2,17
2,15
1,14
2,3
1,6
1,1
2,3
2,18
2,4
1,6
2,5
2,14
2,6
2,15
2,11
1,18
1,20
1,9
2,7
1,16
1,17
1,11
2,14
1,20
2,13
2,7
2,8
2,2
2,8
2,4
1,8
1,5
2,1
1,4
1,12
2,17
2,17
1,7
2,15
2,1
1,4
2,10
1,11
2,14
2,4
1,1
1,13
2,18
1,6
2,2
2,3
1,3
2,14
2,3
2,17
1,16
2,4
1,9
2,15
1,10
2,7
1,2
1,16
2,9
1,3
1,9
2,16
2,5
2,18
2,14
