23,1069
2,13
1,10
1,9
1,2
1,6
1,18
1,17
2,11
2,13
1,5
2,15
1,3
2,20
2,10
2,7
2,9
1,17
2,8
2,20
2,7
1,2
1,16
2,4
1,8
2,17
1,5
2,18
2,4
1,16
1,3
1,5
1,5
1,20
2,13
2,6
2,15
2,20
1,2
1,10
1,12
2,4
2,2
2,5
2,11
1,11
1,1
1,6
2,4
2,4
1,12
2,15
1,9
2,6
1,18
1,15
1,13
1,14
2,3
1,6
2,19
2,6
2,10
2,16
1,8
1,6
2,11
1,1
2,2
2,9
2,3
2,4
2,19
2,15
2,11
1,18
1,13
1,10
1,14
1,14
1,13
1,4
2,20
1,16
2,12
1,15
2,7
1,5
2,10
1,20
2,9
1,6
2,20
2,3
2,4
2,3
2,17
2,5
1,15
1,18
1,18
2,9
1,14
2,4
1,13
1,7
2,17
1,10
1,3
2,14
1,7
1,8
1,16
1,7
2,3
2,14
2,3
2,6
2,3
2,5
2,14
1,4
1,20
