1,1
2,15
2,11
1,20
2,1
2,14
1,11
2,10
1,17
2,6
2,5
2,18
1,13
1,9
2,20
2,16
1,20
1,4
2,6
2,10
2,10
1,20
1,15
1,11
2,11
1,19
2,6
2,20
1,15
2,2
2,20
1,19
1,14
2,10
2,6
1,19
1,17
1,7
1,19
1,3
1,9
1,10
1,7
2,12
2,20
2,8
2,1
1,3
2,4
1,13
2,20
2,12
2,4
2,13
2,3
2,2
2,7
1,11
2,10
2,20
2,16
1,19
1,9
1,4
2,12
1,13
2,10
1,6
1,3
2,17
2,13
2,7
1,6
2,7
1,3
1,15
1,19
1,1
2,18
1,20
1,4
2,11
2,1
1,8
2,20
2,15
1,13
1,18
1,5
2,14
1,19
1,7
2,12
2,15
1,19
1,15
2,13
1,7
1,5
1,13
2,10
2,20
1,12
1,11
1,4
1,3
2,17
1,6
1,18
2,5
1,3
2,13
1,9
1,8
1,15
2,20
1,14
2,6
2,1
2,6
1,17
2,19
2,18
